timestamp,reading_kwh
2026-06-01 12:00:00,23.4
2026-06-02 12:00:00,24.1
2026-06-03 12:00:00,25.0
2026-06-04 12:00:00,24.5
2026-06-05 12:00:00,22.8
2026-06-06 12:00:00,21.9
2026-06-07 12:00:00,23.1
2026-06-08 12:00:00,24.0
2026-06-09 12:00:00,25.2
2026-06-10 12:00:00,26.1
2026-06-11 12:00:00,25.4
2026-06-12 12:00:00,23.6
2026-06-13 12:00:00,22.5
2026-06-14 12:00:00,23.8
2026-06-15 12:00:00,24.7
2026-06-16 12:00:00,25.5
2026-06-17 12:00:00,26.3
2026-06-18 12:00:00,25.8
2026-06-19 12:00:00,24.0
2026-06-20 12:00:00,22.9
2026-06-21 12:00:00,24.2
2026-06-22 12:00:00,25.1
2026-06-23 12:00:00,26.0
2026-06-24 12:00:00,26.7
2026-06-25 12:00:00,26.1
2026-06-26 12:00:00,24.4
2026-06-27 12:00:00,23.3
2026-06-28 12:00:00,24.6
2026-06-29 12:00:00,25.8
2026-06-30 12:00:00,26.5
2026-07-01 12:00:00,27.2
2026-07-02 12:00:00,26.6
2026-07-03 12:00:00,24.9
2026-07-04 12:00:00,23.7
2026-07-05 12:00:00,25.0
